id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
15905296,Hale Honulei,19470558,Michele,Ewa,-158.00071,21.31369,House,Entire home/apt,3,5,175,198,3,14,95,98,4
15920870,Spacious modern studio with amazing views,51023335,Oliver,Kensington,151.22424,-33.91078,Apartment,Entire home/apt,1,2,100,0,2,120,47,96,2
15923846,Luxurious 4 to 5 Room The Rocks Large House Sydney,3882146,Suzanna,Millers Point,151.20532,-33.86119,Townhouse,Entire home/apt,5,8,380,261,1,1125,31,91,7
15928663,What a place in Barcelona in the center,99205320,Marcella Y Fabrizio,Millers Point,2.17934,41.38052,Apartment,Entire home/apt,2,4,43,249,31,360,15,95,1
1593570,"LAPA, FOR LEISURE OR BUSINESS",8368066,Alexandre,Lapa,-43.18801158,-22.91465474,Apartment,Entire home/apt,2,2,90,343,2,1125,41,96,4
15943568,"Anthurium Alii Gardens Rainforest, Volcano",103493907,Roxane,Island of Hawaiʻi,-155.22552,19.42905,Cottage,Entire home/apt,3,6,175,350,1,1125,45,94,1
15960997,Breathtaking view a walk away from sydney CBD,97844752,Terry,Darlinghurst,151.22814,-33.8771,Apartment,Private room,1,1,119,0,2,16,43,96,1
15963882,"Deniz, orman ve şehir manzaralı.",10673042,Celal,Darlinghurst,29.06121,40.88288,House,Entire home/apt,2,3,527,364,10,90,2,100,1
15973865,5 STARS DOWNTOWN with PARKING ( 2BDR )BELL Center,25459618,Elissa,Le Plateau,-73.5699,45.49533,Serviced apartment,Entire home/apt,3,4,189,0,3,1125,86,96,7
15979078,HM - Bonjardim Studio Downtown,47191303,Home Me,Le Plateau,-8.60825,41.15101,Apartment,Entire home/apt,1,2,55,301,2,1125,2,100,32
15984115,Appartement en bord de mer,103855279,Fl_immo,Le Plateau,-8.76167,41.37261,Apartment,Entire home/apt,3,6,33,325,2,1000,32,86,1
15988739,Coconut Beach. Kapaa Condo 1BD 1BA Full Kitchen,75440219,Pete & Judi,Kauaʻi,-159.32462,22.05558,Condominium,Entire home/apt,2,4,129,64,3,1125,48,94,1
15997148,Huge kid-friendly Brooklyn home with parking/patio,200060,Erin & Marla,Bedford-Stuyvesant,-73.92866,40.69092,House,Entire home/apt,3,4,150,0,10,1125,3,100,2
16002924,The Lux MTL Condo steps away from everything!,104027251,Nicky,Downtown Montreal,-73.57005,45.49243,Condominium,Entire home/apt,2,4,82,65,2,365,119,97,1
16006173,Ocean View Home for Vacations and Executive Stays,82029929,Deanna,Liliha/Kapalama,-157.84952,21.34049,House,Entire home/apt,3,5,135,0,4,9,7,97,1
16010568,Sagrada Familia Gaudi,104095728,Maria Del Mar,La Sagrada Família,2.17784,41.40775,Apartment,Entire home/apt,2,4,60,294,3,365,88,82,1
16020247,Entire garden sanctuary terrace : heart of Newtown,104192608,Kassandra,Newtown/Enmore,151.17563,-33.90135,Townhouse,Entire home/apt,4,6,181,30,2,24,34,94,2
160223,Kuulai Hale Private Cottage,767016,Linda,Island of Hawaiʻi,-155.04581,19.57833,Cottage,Entire home/apt,4,7,84,352,1,365,35,90,2
16029413,"Bundeena Base Art House, Sea View with Heated Pool",104281282,Hilde,Island of Hawaiʻi,151.15653,-34.084,House,Entire home/apt,5,8,260,303,2,1124,40,98,1
16030448,Ocean/Sunset /Firework View 1 BR Ilikai Marina 482,24712052,Hawaii Vacation Properties Llc,Waikiki,-157.83903,21.28582,Condominium,Entire home/apt,1,4,275,216,4,1124,15,94,59
16036940,Aconchego entre a Praia e a Lagoa,39731483,Eneide,Leblon,-43.21671044,-22.98445709,Apartment,Entire home/apt,5,7,399,203,2,90,78,100,3
1604488,Private room with stunning view,8548430,Bernardo And Andressa,Williamsburg,-73.96174,40.72149,Condominium,Private room,1,2,110,32,3,14,126,99,1
16050172,[Parking]  Beautiful Flat in Downtown Montréal,104182850,Yj,Downtown Montreal,-73.58089,45.49545,Apartment,Entire home/apt,1,3,99,337,1,1124,152,89,1
16051841,Cosy apartment - great location,43968444,Fanny,Quartier des Spectacles,-73.55963,45.51301,Apartment,Entire home/apt,1,3,75,0,2,14,2,100,1
16052138,Cozy appartement in the plateau of Montreal !,7018334,Lucie,Le Plateau,-73.57684,45.53454,Apartment,Private room,1,2,50,0,2,1125,6,100,1
16057052,Villa Hodgkinson 18A - Convenient Sydney Location,15651267,Serviced Houses Australia,Brighton-Le-Sands,151.00705,-33.9544,Townhouse,Entire home/apt,6,10,296,269,2,1125,1,100,90
